user_id,item_id,rating,timestamp
216,87,3.0,2025-01-03T14:00:00
302,75,4.1,2025-01-03T14:00:00
302,57,3.5,2025-01-04T00:00:00
140,264,4.2,2025-01-04T01:00:00
6,58,4.7,2025-01-04T15:00:00
344,267,5.0,2025-01-04T17:00:00
180,233,3.9,2025-01-04T23:00:00
87,266,3.9,2025-01-05T01:00:00
354,42,3.6,2025-01-05T01:00:00
344,279,5.0,2025-01-05T02:00:00
344,269,4.5,2025-01-05T07:00:00
97,182,3.8,2025-01-05T14:00:00
338,256,4.0,2025-01-05T23:00:00
344,264,5.0,2025-01-06T04:00:00
216,280,4.3,2025-01-06T07:00:00
215,116,4.2,2025-01-06T13:00:00
344,209,3.7,2025-01-06T15:00:00
6,66,3.9,2025-01-06T21:00:00
318,50,4.1,2025-01-06T22:00:00
316,89,4.5,2025-01-06T23:00:00
302,6,3.0,2025-01-07T01:00:00
180,196,3.8,2025-01-07T03:00:00
474,226,4.5,2025-01-07T03:00:00
50,209,2.8,2025-01-07T04:00:00
354,164,4.2,2025-01-07T06:00:00
140,269,4.0,2025-01-07T08:00:00
215,122,3.3,2025-01-07T10:00:00
451,122,2.8,2025-01-07T14:00:00
497,45,4.2,2025-01-07T15:00:00
96,295,2.3,2025-01-07T17:00:00
87,285,4.5,2025-01-07T19:00:00
344,28,3.6,2025-01-07T23:00:00
50,292,2.9,2025-01-08T00:00:00
338,96,4.8,2025-01-08T04:00:00
497,17,4.0,2025-01-08T06:00:00
97,122,3.5,2025-01-08T08:00:00
316,55,5.0,2025-01-08T08:00:00
180,209,4.9,2025-01-08T09:00:00
6,77,3.1,2025-01-08T12:00:00
6,75,2.4,2025-01-08T16:00:00
354,209,5.0,2025-01-08T16:00:00
149,87,4.5,2025-01-08T19:00:00
13,17,5.0,2025-01-09T07:00:00
344,70,3.9,2025-01-09T10:00:00
180,235,4.8,2025-01-09T14:00:00
1,222,4.4,2025-01-09T16:00:00
474,50,2.9,2025-01-09T17:00:00
50,201,3.8,2025-01-09T18:00:00
338,4,2.7,2025-01-09T18:00:00
497,29,3.0,2025-01-09T18:00:00
35,98,4.4,2025-01-09T20:00:00
215,189,2.9,2025-01-09T20:00:00
318,45,4.7,2025-01-10T01:00:00
216,261,5.0,2025-01-10T02:00:00
356,223,3.7,2025-01-10T02:00:00
42,127,3.5,2025-01-10T06:00:00
97,266,2.4,2025-01-10T06:00:00
140,281,5.0,2025-01-10T07:00:00
149,55,4.6,2025-01-10T10:00:00
180,211,3.7,2025-01-10T10:00:00
302,67,5.0,2025-01-10T10:00:00
215,209,3.0,2025-01-10T12:00:00
13,29,4.4,2025-01-10T13:00:00
97,103,3.9,2025-01-10T13:00:00
87,265,4.2,2025-01-10T16:00:00
96,122,4.0,2025-01-10T16:00:00
426,287,4.4,2025-01-10T16:00:00
86,153,4.3,2025-01-10T17:00:00
316,122,3.5,2025-01-10T21:00:00
497,34,4.7,2025-01-11T02:00:00
149,74,5.0,2025-01-11T03:00:00
215,162,3.0,2025-01-11T04:00:00
354,158,5.0,2025-01-11T06:00:00
451,29,1.7,2025-01-11T06:00:00
474,157,5.0,2025-01-11T07:00:00
150,216,2.9,2025-01-11T09:00:00
451,125,2.3,2025-01-11T10:00:00
50,246,3.8,2025-01-11T12:00:00
97,164,4.1,2025-01-11T15:00:00
318,89,3.1,2025-01-11T16:00:00
403,74,5.0,2025-01-11T18:00:00
150,122,3.5,2025-01-11T21:00:00
6,60,3.0,2025-01-11T22:00:00
42,149,2.4,2025-01-12T00:00:00
356,42,3.9,2025-01-12T00:00:00
316,74,3.8,2025-01-12T01:00:00
97,199,5.0,2025-01-12T04:00:00
15,42,4.6,2025-01-12T10:00:00
474,249,3.6,2025-01-12T12:00:00
35,266,3.5,2025-01-12T13:00:00
180,142,3.9,2025-01-12T13:00:00
497,122,3.2,2025-01-12T13:00:00
216,281,4.6,2025-01-12T15:00:00
13,107,3.9,2025-01-12T16:00:00
96,55,3.7,2025-01-12T16:00:00
338,75,4.7,2025-01-12T20:00:00
216,29,4.2,2025-01-13T02:00:00
344,122,2.5,2025-01-13T02:00:00
87,255,4.7,2025-01-13T04:00:00
86,274,2.8,2025-01-13T06:00:00
216,209,3.4,2025-01-13T06:00:00
6,74,3.4,2025-01-13T07:00:00
446,212,2.5,2025-01-13T08:00:00
120,267,5.0,2025-01-13T09:00:00
311,122,4.0,2025-01-13T09:00:00
338,223,3.2,2025-01-13T12:00:00
215,136,5.0,2025-01-13T13:00:00
426,267,3.8,2025-01-13T14:00:00
446,29,3.3,2025-01-13T14:00:00
497,30,4.4,2025-01-13T14:00:00
42,246,2.4,2025-01-13T15:00:00
1,74,1.5,2025-01-13T16:00:00
149,259,4.1,2025-01-13T17:00:00
13,141,5.0,2025-01-13T19:00:00
150,209,4.5,2025-01-13T19:00:00
140,74,4.7,2025-01-13T23:00:00
497,31,4.4,2025-01-13T23:00:00
354,239,4.9,2025-01-14T01:00:00
50,212,4.2,2025-01-14T03:00:00
15,5,4.8,2025-01-14T04:00:00
86,196,4.5,2025-01-14T05:00:00
302,61,5.0,2025-01-14T07:00:00
318,175,3.0,2025-01-14T08:00:00
43,45,1.6,2025-01-14T09:00:00
50,215,3.2,2025-01-14T11:00:00
150,247,4.5,2025-01-14T11:00:00
443,159,4.7,2025-01-14T12:00:00
87,269,4.5,2025-01-14T13:00:00
403,87,5.0,2025-01-14T14:00:00
150,239,5.0,2025-01-14T15:00:00
311,5,2.1,2025-01-14T15:00:00
356,266,4.8,2025-01-14T16:00:00
451,140,3.4,2025-01-14T17:00:00
50,232,3.7,2025-01-14T18:00:00
138,122,3.4,2025-01-14T18:00:00
316,61,4.2,2025-01-14T18:00:00
344,138,3.5,2025-01-14T18:00:00
149,271,4.4,2025-01-14T22:00:00
170,259,3.0,2025-01-15T00:00:00
443,181,4.6,2025-01-15T00:00:00
35,178,5.0,2025-01-15T05:00:00
207,266,3.9,2025-01-15T05:00:00
97,159,4.6,2025-01-15T08:00:00
443,196,4.8,2025-01-15T08:00:00
140,267,4.6,2025-01-15T10:00:00
474,165,3.9,2025-01-15T11:00:00
389,74,3.1,2025-01-15T12:00:00
403,55,4.8,2025-01-15T13:00:00
87,276,3.1,2025-01-15T14:00:00
97,166,4.2,2025-01-15T15:00:00
